,equity
2017-08-03,3.06520060453481
2017-08-04,3.080139046091241
2017-08-07,3.0851916014503815
2017-08-08,3.0800977405487147
2017-08-09,3.0819082883002245
2017-08-10,3.0990996444203747
2017-08-11,3.103119017072198
2017-08-14,3.1147489642968673
2017-08-15,3.1099144893990833
2017-08-16,3.115534163824747
2017-08-17,3.0967707934043944
2017-08-18,3.094638301941444
2017-08-21,3.0968564003920047
2017-08-22,3.1429972428753996
2017-08-23,3.1353974212233124
2017-08-24,3.132683302741693
2017-08-25,3.1389620267886067
2017-08-28,3.1404821383141677
2017-08-29,3.145917695527473
2017-08-30,3.1520607443034843
2017-08-31,3.164021393192669
2017-09-01,3.159243105666716
2017-09-05,3.1588922127320767
2017-09-06,3.160499574753748
2017-09-07,3.167168720188742
2017-09-08,3.164143231325338
2017-09-11,3.1719886961629977
2017-09-12,3.173517159481133
2017-09-13,3.1710391175450274
2017-09-14,3.1708269056204563
2017-09-15,3.1670377564535044
2017-09-18,3.1642297798292245
2017-09-19,3.164043872194819
2017-09-20,3.16151290253416
2017-09-21,3.155208072443779
2017-09-22,3.158330906536512
2017-09-25,3.1598252896765957
2017-09-26,3.1594523644114
2017-09-27,3.1575008774976547
2017-09-28,3.1590990616662546
2017-09-29,3.162725788155283
2017-10-02,3.1654300722368984
2017-10-03,3.1710519153219154
2017-10-04,3.1609269146392864
2017-10-05,3.169575185082799
2017-10-06,3.1651456381013845
2017-10-09,3.152067176940521
2017-10-10,3.1611377381586023
2017-10-11,3.158817391974253
2017-10-12,3.1564970457899038
2017-10-13,3.1508015920886887
2017-10-16,3.1480595988657076
2017-10-17,3.1389890376476264
2017-10-18,3.1539658760862386
2017-10-19,3.149114038330256
2017-10-20,3.1636689078622675
2017-10-23,3.1590082539056508
2017-10-24,3.157021588579215
2017-10-25,3.1466719086931323
2017-10-26,3.1466208231563377
2017-10-27,3.231357376524708
2017-10-30,3.2311391753434875
2017-10-31,3.2450576350147267
2017-11-01,3.245573046122517
2017-11-02,3.2471196727393714
2017-11-03,3.2728945543572063
2017-11-06,3.2801114897467216
2017-11-07,3.2816579197168347
2017-11-08,3.299700454837364
2017-11-09,3.2734099654649977
2017-11-10,3.2734099654649977
2017-11-13,3.272378946602675
2017-11-14,3.265677422320951
2017-11-15,3.24144916731997
2017-11-16,3.2868128173817053
2017-11-17,3.265677422320951
2017-11-20,3.2780494520220778
2017-11-21,3.3125878956462813
2017-11-22,3.3064017824723475
2017-11-24,3.324959728700667
2017-11-27,3.324959728700667
2017-11-28,3.33578513178494
2017-11-29,3.3294386221120402
2017-11-30,3.3388320119438215
2017-12-01,3.338999853608115
2017-12-04,3.3361918151332444
2017-12-05,3.331452698064761
2017-12-06,3.335227562401263
2017-12-07,3.3375015941064254
2017-12-08,3.353319097171008
2017-12-11,3.3572626263102197
2017-12-12,3.358797834584792
2017-12-13,3.359845554994926
2017-12-14,3.3523481659319825
2017-12-15,3.3779864279538736
2017-12-18,3.4078106427287667
2017-12-19,3.3868816773526094
2017-12-20,3.385834989567146
2017-12-21,3.3790331157393374
2017-12-22,3.3769401393628367
2017-12-26,3.354441142308484
2017-12-27,3.362439783352287
2017-12-28,3.368202800284048
2017-12-29,3.3645691218377727
2018-01-02,3.4061328406819267
2018-01-03,3.4345436363734314
2018-01-04,3.451905856196265
2018-01-05,3.4882086064801014
2018-01-08,3.501361730333493
2018-01-09,3.4924173010480577
2018-01-10,3.480316651887769
2018-01-11,3.494521849032779
2018-01-12,3.5150406901319515
2018-01-16,3.509873376761654
2018-01-17,3.522742672250999
2018-01-18,3.514214027856721
2018-01-19,3.5176492142429314
2018-01-22,3.531272268060248
2018-01-23,3.540125315169218
2018-01-24,3.5360355014354057
2018-01-25,3.540700428033726
2018-01-26,3.5559242023794098
2018-01-29,3.541473846450233
2018-01-30,3.5297206861447954
2018-01-31,3.531110307409887
2018-02-01,3.517141934357282
2018-02-02,3.487560019611637
2018-02-05,3.5063045692049792
2018-02-06,3.4802478478407934
2018-02-07,3.466971769075423
2018-02-08,3.4711361146821798
2018-02-09,3.465168992242194
2018-02-12,3.4901026603026915
2018-02-13,3.497346260932876
2018-02-14,3.510354896533098
2018-02-15,3.5332687095580604
2018-02-16,3.5379525373829135
2018-02-20,3.524969111127161
2018-02-21,3.511013188916275
2018-02-22,3.5157074586928667
2018-02-23,3.587600157417718
2018-02-26,3.610537936241215
2018-02-27,3.5823466900013856
2018-02-28,3.5684193364753614
2018-03-01,3.5693123840062513
2018-03-02,3.5718926909375766
2018-03-05,3.5902599912951505
2018-03-06,3.5946345166754954
2018-03-07,3.5939758290011645
2018-03-08,3.6063738232087843
2018-03-09,3.6338696269476385
2018-03-12,3.635867810121663
2018-03-13,3.6271441822992436
2018-03-14,3.621382176840271
2018-03-15,3.6187026896143073
2018-03-16,3.611320816868918
2018-03-19,3.613469661497813
2018-03-20,3.6018337771082547
2018-03-21,3.599612446248577
2018-03-22,3.599898239556875
2018-03-23,3.6256439705713857
2018-03-26,3.6302195008535456
2018-03-27,3.6096202656327305
2018-03-28,3.58435454156169
2018-03-29,3.610908938543403
2018-04-02,3.630783012774036
2018-04-03,3.6112788512370777
2018-04-04,3.612369294020494
2018-04-05,3.5985135991164046
